"user_id","screen_name","name","query","text","location","lat","lng","region"
"xx266895977","Steve_in_B_A","Steve Rowe <U+0001F469><U+200D><U+0001F373><U+0001F30A><U+0001F30A><U+0001F30A>","""flu""","@SteveSpiffy @Sarah_n_Ken Hope you are well, the flu sucks.","Broken Arrow, Ok",35.3090465,-98.71699175,"oklahoma"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","Fuck it. Iâ€™m trying to kill it this summer<U+0001F4AA><U+0001F3FF><U+0001F3CB><U+0001F3FF><U+200D><U+2640><U+FE0F>","Columbus, OH",39.9946835,-82.98577205,"ohio"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","Kyrie And Lebron both having shit times with there new teams. Should have just stayed in Cleveland with love. But naw you happen to mess up a good thing<U+0001F937><U+0001F3FF><U+200D><U+2642><U+FE0F><U+0001F602>","Columbus, OH",39.9946835,-82.98577205,"ohio"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","@ProWrestlingMag This is the most unfair choice Iâ€™ve ever had to make<U+0001F92F>","Columbus, OH",39.9946835,-82.98577205,"ohio"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","Shit RBI baseball came out for the Switch today. I want it but I literally just bought DOA6 Friday <U+0001F643>","Columbus, OH",39.9946835,-82.98577205,"ohio"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","How did Columbus Gold in Dublin get my number. Iâ€™ll never know<U+0001F602><U+0001F602><U+0001F602><U+0001F602>","Columbus, OH",39.9946835,-82.98577205,"ohio"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","@WWERDream @WWE @espnW @Torrie11 I think she does but I can agree with that. She should not be before say Molly Holly, Victoria, and Chyna. They were all WWE made","Columbus, OH",39.9946835,-82.98577205,"ohio"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","itâ€™s March 1 and that itâ€™s almost spring: https://t.co/omp07c0bMF","Columbus, OH",39.9946835,-82.98577205,"ohio"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","And Golden Corral is next door. So tempted to go to there breakfast <U+0001F602><U+0001F602><U+0001F602>","Columbus, OH",39.9946835,-82.98577205,"ohio"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","These Dead or Alive 6 reviews got me hype","Columbus, OH",39.9946835,-82.98577205,"ohio"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","They literally ask me to work overtime at the worst times. Like no. When Iâ€™m killing this cardio session.","Columbus, OH",40.177547,-83.0852275,"ohio"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","I havenâ€™t drank that much in a very long time. Iâ€™m dead rn","Columbus, OH",39.9946835,-82.98577205,"ohio"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","I wanna go watch this game. Work is never gonna end<U+0001F643>","Columbus, OH",40.1252735,-83.139281,"ohio"
"xx26947347","FLU_2Cold","Terence Fluellen","""flu""","Thinking of adding casein to my stack<U+0001F914> but I already take Lean 5, test booster, creatine and protein","Columbus, OH",39.9946835,-82.98577205,"ohio"
